zgh_verbe	en_meaning
ⵇⴷⵉⴷⴷⵓ	tremble with cold
ⵇⴷⵉⴷⴷⵙ	shake
ⵇⴷⵎⵔ	shoot the bridle violently
ⵇⴹⵓ	shopping
ⵇⴹⵓ	end
ⵇⴹⵓ	to cut
ⵇⴼⵇⴼ	be afraid
ⵇⵇⴰⵏ	to (it is necessary that)
ⵇⵇⴰⵔ	be dry
ⵇⵇⴰⵔ	harden (intr.)
ⵇⵇⴰⵙ	to taste
ⵇⵇⴷ	burn
ⵇⵇⴷ	cauterize
ⵇⵇⴷ	to light up
ⵇⵇⵉⵊⵊⵓ	Growing (door)
ⵇⵇⵉⵍ	leave, abandon
ⵇⵇⵉⵍ	save, protect
ⵇⵇⵉⵎ	sit
ⵇⵇⵉⵎ	stay, stay
ⵇⵇⵉⵙ	touch
ⵇⵇⵍ	wait, wait
ⵇⵇⵏ	close
ⵇⵇⵏ	to attach
ⵇⵇⵓ	Coit, have sexual intercourse
ⵇⵇⵓⵎⵎⵛ	squat
ⵇⵇⵓⵛⵛⵃ	desert
ⵇⵇⵓⵛⵛⵔ	to be bald
ⵇⵇⵙ	sting
ⵇⵉⵇⵏ	be awake, alert, lively
ⵇⵉⵇⵛ	to spy on, monitor
ⵇⵉⵊⵊⵓ	grind
ⵇⵊⴷⵃ	limp
ⵇⵊⴷⵎ	sit down, sit down
ⵇⵊⵊⴼ	Effuiller (corn ears)
ⵇⵊⵊⴼ	be tight (clothing)
ⵇⵊⵊⵎ	bite
ⵇⵊⵓⵊⵊⵉ	set off
ⵇⵊⵕ	be turbulent (child)
ⵇⵊⵕ	to be severe
ⵇⵊⵕ	be deep
ⵇⵍⵉⵍⵍⵣ	frivolize
ⵇⵍⵉⵍⵍⵣ	interfere in the affairs of others
ⵇⵍⵍⵇ	get angry, be concerned, be angry
ⵇⵍⵍⵇ	hurry, hasten
ⵇⵍⵍⵛ	Dress in the air (head, ear)
ⵇⵍⵍⵛ	wake
ⵇⵍⵓⵍⵍⵛ	squat
ⵇⵎⴰ	strangle
ⵇⵎⵇⵎ	graze
ⵇⵎⵇⵎ	nibble
ⵇⵎⵇⵎ	Porter (heavy object)
ⵇⵎⵎⵃ	sway
ⵇⵎⵎⵔ	pinch
ⵇⵎⵎⵕ	playing games
ⵇⵎⵎⵛ	be tight (clothing)
ⵇⵎⵔ	be narrow, tight, cramped
ⵇⵎⵛⴻⵛ	Leave, be stingy
ⵇⵏⴹ	being dissatisfied
ⵇⵏⴹ	to be bored
ⵇⵏⵏⴱ	tie up
ⵇⵏⵏⴱ	to be tight
ⵇⵏⵏⴻⵏ	spend sparingly
ⵇⵏⵏⴼ	Raise your nose at the top as a sign of dissatisfaction
ⵇⵏⵏⴼ	nod
ⵇⵏⵓⵏⵏⵉ	roll
ⵇⵏⵓⵏⵏⵉ	to fall
ⵇⵓⴱⴱⵔ	be austere (place)
ⵇⵓⴹⴻⴹ	be in size
ⵇⵓⵊⵊⵔ	be smuggled by the cold
ⵇⵓⵙⴱⵔ	be missing, stunted, lean
ⵇⵓⵛⵛⵓ	be skinny, dry (fruit)
ⵇⵔⴱⵍ	be in disorder
ⵇⵔⴱⵛ	Firement, miss (firearm)
ⵇⵔⴼ	be cold, smuggled by the cold
ⵇⵔⵃ	Chagriner, sorry
ⵇⵔⵇⴱ	Make noise, collide, slam
ⵇⵔⵇⴱ	be old
ⵇⵔⵇⵔ	Caqueter, gloss
ⵇⵔⵇⵔ	Covered (hen)
ⵇⵔⵇⵔ	Medire, slander, denigrate
ⵇⵔⵇⵛ	have a smallpox
ⵇⵔⵓⵔⵛ	cut
ⵇⵔⵔⴷ	Crazy, sit in ceroultons
ⵇⵔⵔⵃ	to suffer, to paint
ⵇⵔⵔⵇ	Covered (hen)
ⵇⵔⵔⵇ	joke, ridicule
ⵇⵔⵔⵎ	be paralyzed
ⵇⵔⵔⵙ	watch, monitor
ⵇⵔⵔⵛ	bite
ⵇⵔⵔⵛ	pinch
ⵇⵔⵛⵍ	Carder, be carded
ⵇⵕⴹ	break, break, fracture
ⵇⵕⴹ	waste, spend
ⵇⵕⴹⵛ	wool
ⵇⵕⵏⵚ	to shut up
ⵇⵕⵓⵊⵊⵄ	fall (péj.)
ⵇⵕⵕⵚ	curl up, pick up on yourself
ⵇⵕⵕⵚ	flatten the bread dough
ⵇⵕⵚⵓ	be torn apart
ⵇⵕⵚⵓ	rip
ⵇⵙⵃ	to be tough
ⵇⵙⵙⴱ	mow
ⵇⵙⵙⴱ	peel
ⵇⵙⵙⴻⵙ	Chop, cut into menus pieces
ⵇⵙⵙⴼ	shorten (intr.), decrease
ⵇⵙⵙⵃ	hurt
ⵇⵙⵙⵍ	Grow in still green barley fields
ⵇⵚⵚⵕ	tease, joke
ⵇⵛⵃ	desert
ⵇⵛⵇⵛ	to relocate
ⵇⵛⵓ	hunt, send back
ⵇⵛⵛⴰ	rob, rob
ⵇⵜⵓⵜⵜⵙ	crumble
ⵇⵜⵜⵙ	be tired, have aches
ⵇⵜⵜⵙ	beat, hit
ⵇⵜⵜⵙ	shred
ⵇⵟⵓⵟⵟⵛ	be intelligent, be on guard
ⵇⵟⵟⴱ	wing
ⵇⵡⵛⵕ	be rough
ⵇⵡⵡⵔ	enclosure
ⵇⵡⵡⵔ	pile up
ⵇⵡⵡⵕ	Cut RAS (hairs, hair)
ⵇⵡⵡⵕ	cut
ⵇⵢⵢⴷ	Note, save
ⵇⵢⵢⴷ	to aim
ⵇⵢⵢⵙ	stone
ⵇⵢⵢⵙ	to taste
ⵇⵣⴷⵔ	Rack, restrict
ⵇⵣⴷⵔ	fright
ⵇⵣⵇⵣ	Trottine, trample (impatience)
ⵇⵣⵣⴱ	Animal cut the tail
ⵇⵣⵣⴱ	garment
ⵇⵣⵣⴼ	pinch
ⵇⵣⵣⵔ	snatch (hair, hair, alfa), epilate, deploy
ⵇⵥⵥⴻⵥ	be stingy
ⵇⵥⵥⵕ	humiliate, mortify, reprimand
ⵉⴳⵓⴳⴳ	pair
ⵉⴳⵓⵜ	be in
ⵉⴳⵣⵓⵍ	be small
ⵉⴳⵯⵕⵉⵥ	regret, repent
ⵉⴷⵉⵔ	live, being alive
ⵉⴷⵔⵓⵙ	be few
ⵉⴷⵔⵓⵙ	be rare
ⵉⴹⴼⵓⵕ	follow
ⵉⴼⵍⵉⵡⵙ	be green
ⵉⴼⵙⵓⵙ	Fast (being -), Leste (being -)
ⵉⴼⵙⵓⵙ	Frivol (to be -)
ⵉⴼⵙⵓⵙ	Light (being -)
ⵉⴽⵉⵍ	undergo a weight
ⵉⴽⵔⵉⵔ	hang out
ⵉⴽⵚⵓⴹ	fear, being afraid
ⵉⴽⵜⵓⵔ	Fill, be filled
ⵉⵃⵜⴰⵍ	take care of
ⵉⵇⵇⵉⵇ	be burning
ⵉⵇⵇⵉⵇ	hurt
ⵉⵊⴳⵉⵍ	rise
ⵉⵍⵉ	have, possess
ⵉⵍⵉ	marry, get married
ⵉⵍⵉ	be located
ⵉⵍⵉ	be to exist
ⵉⵍⵉⵍ	be rinsed
ⵉⵍⵉⵙ	go with a dark
ⵉⵍⵍⵢ	to move
ⵉⵍⵎⵓⵙ	be bland, tasteless
ⵉⵍⵡⵉ	Become flange, lack firmness, soften
ⵉⵍⵡⵉⵖ	Be fun, be soft
ⵉⵍⵡⵉⵖ	be soft, tender
ⵉⵍⵡⵉⵖ	smooth
ⵉⵎⵉⵎ	be sweet, sweet
ⵉⵎⵍⵓⵍ	be white
ⵉⵎⵖⵓⵔ	Growing up, being tall
ⵉⵎⵖⵓⵔ	be aged
ⵉⵎⵙⵉⴷ	be sharp
ⵉⵎⵙⵉⵙ	disintegrate
ⵉⵎⵙⵉⵙ	lack salt, be bland, tasteless
ⵉⵎⵢⵓⵔ	be used to getting used to
ⵉⵎⵥⵢ	be young
ⵉⵏⴰⴳ	look for
ⵉⵏⴰⵢ	be new
ⵉⵏⵉ	Express
ⵉⵏⵉ	say
ⵉⵏⵉ	to tell about
ⵉⵏⵉⴳ	search, search
ⵉⵏⵣ	to bend down
ⵉⵏⵣⵉ	endure, endure
ⵉⵔⴰⵔ	play, have fun
ⵉⵔⴰⵔ	to sing
ⵉⵔⵉ	to desire
ⵉⵔⵉ	to like
ⵉⵔⵉ	want to
ⵉⵔⵉⵔ	to sing
ⵉⵔⵉⵡ	be wide
ⵉⵔⵡⵉⵙ	look like, being identical
ⵉⵔⵣ	baston
ⵉⵕⴹ	dress, put on, be dressed, dress
ⵉⵕⵥⵉⴳ	be bitter
ⵉⵖⴰⵔ	be dry
ⵉⵖⴰⵔ	hard
ⵉⵖⵉⵢ	power, be able to
ⵉⵖⵣⵉⴼ	be long
ⵉⵖⵥⵉⵏ	tell the right
ⵉⵙⴼⵉⵡ	see clear
ⵉⵙⵉⵏ	to know
ⵉⵙⵉⵏ	to know
ⵉⵙⵍⵉⵡ	fade, withered
ⵉⵙⵎⵓⵎ	be acid
ⵉⵚⵎⵉⴹ	cool down, be cold
ⵉⵜⵜⵉ	deviate from a point (move forward or back)
ⵉⵡⴷⴰ	that's enough
ⵉⵡⴷⵓ	suffice
ⵉⵡⵄⵉⵔ	be difficult
ⵉⵡⵔⵉⵖ	pale
ⵉⵡⵔⵉⵖ	yellow
ⵉⵡⵙⵉ	be trained
ⵉⵡⵙⵉⵔ	Aging, being old
ⵉⵣⴷⵉⴳ	be clean, clear, pure
ⵉⵣⴷⵉⵔ	be at the bottom
ⵉⵣⴷⵉⵔ	lower
ⵉⵣⵉ	stir up
ⵉⵣⵉⵣ	wish, deserve
ⵉⵣⵓⵔ	be thick
ⵉⵣⵡⵉⵖ	be red
ⵉⵣⵡⵓⵔ	Devance, be first
ⵉⵣⵣⵉ	Grill
ⵉⵣⵣⵉⴼ	scream
ⵉⵥⴹⵉⵕ	power, be able to
ⵉⵥⴹⵉⵕ	to be able to
ⵉⵥⴹⵉⵢ	to be heavy
ⵉⵥⵉⴹ	be sweet, sweet
ⵉⵥⵉⵍ	to be beautiful
ⵉⵥⵉⵍ	to be good
ⵉⵥⵉⵕ	see
ⵊⴰⵃ	be a bad, little favorable
ⵊⴰⵃⴷ	stand
ⵊⴱⴱⵕ	Screw, put a splint
ⵊⴱⴷ	pull
ⵊⴱⵕ	hide, put aside
ⵊⴱⵕ	to shelter
ⵊⴳⵓ	Bad (goat, sheep)
ⵊⴳⵓⴳⵍ	to balance
ⵊⴷⵔ	burn, burn, be burned
ⵊⴼⴼⴻⴼ	wipe the ground with a mop
ⵊⵀⴷ	to be strong
ⵊⵀⵍ	be awkward
ⵊⵀⵍ	blaspheme
ⵊⵀⵍ	to be mad
ⵊⵉⵊⴳⵍ	be up to
ⵊⵉⵊⴳⵍ	rack
ⵊⵉⵢⵛ	be at rest
ⵊⵊ	leave, abandon
ⵊⵊⴹ	be a gay
ⵊⵊⵉ	Heal (intr.)
ⵊⵊⵉ	be doing well
ⵊⵊⵉⵡⵏ	to be full
ⵊⵊⵏ	plume
ⵊⵊⵓ	Smell, to be fragrant
ⵊⵊⵓ	smell
ⵊⵊⵓⵊⵊⵉ	Heal (tr.)
ⵊⵊⵓⵊⵊⵓ	stack
ⵊⵊⵓⵊⵊⵓ	put on some perfume
ⵊⵍⵇ	be voracious
ⵊⵍⵍⵊ	tile
ⵊⵍⵓ	cause loss of
ⵊⵍⵓ	wander, get lost
ⵊⵎⴽ	to tear out
ⵊⵎⵎⵍ	wholesale
ⵊⵎⵔⵎⵊ	stammer
ⵊⵏⵏⴹ	to squeeze
ⵊⵓⵊⵊⴳ	to bloom
ⵊⵓⵕⵕⵓ	hang out
ⵊⵕⵓ	occur, arrive (event)
ⵊⵢⵢⴼ	strangle, strangle
ⵊⵢⵢⵔ	Blanch in lime, be lime bleached
ⵍⴰⵀⴰ	have fun, play
ⵍⴰⵃ	vanish
ⵍⴰⵍ	be born
ⵍⴰⵍⴰ	hunt someone, expel
ⵍⴰⵍⴰ	wander
ⵍⴰⵖⴰ	Apostrophy, challenge
ⵍⴰⵙ	mow
ⵍⴰⵡⵍⴰⵡ	Map, speak confusedly
ⵍⴱⴱⵅ	spoil
ⵍⴳⴳⵯⵉⵖ	be smooth
ⵍⴳⵍⴳ	wander, wander, stroll
ⵍⴷⵉ	clear
ⵍⴷⵉ	shoot, attract, stretch
ⵍⴷⵉ	solve
ⵍⴽⴽ	slim
ⵍⴽⵎ	arrive, reach ‌à
ⵍⴽⵎ	reach
ⵍⴽⵙ	associate
ⵍⴽⵙ	combine
ⵍⴽⵙ	to crush
ⵍⵃⵃⴼ	drape, wrap in a fabric
ⵍⵃⵎ	weld
ⵍⵅⵍⵅ	slicerly
ⵍⵇⴰ	bud
ⵍⵇⴼ	Enter in flight, enter in the air
ⵍⵇⴼ	reach
ⵍⵇⵇ	to be tender
ⵍⵇⵇⵎ	graft
ⵍⵇⵇⵎ	to add
ⵍⵊⴷⵖ	retouch
ⵍⵍⴰⵙ	be obscure, lacking in light
ⵍⵍⴼ	repudiate, divorce
ⵍⵍⵉ	oscillate
ⵍⵍⵉ	shake, agitate
ⵍⵍⵉ	wander, wander, stroll
ⵍⵍⵎ	see
ⵍⵍⵎ	wool
ⵍⵍⵎ	BOUCHER (COLMATER)
ⵍⵍⵓⴽⴽⴹ	be moving
ⵍⵍⵓⵍⵉ	be free
ⵍⵍⵓⵍⵍⵜ	be dignified
ⵍⵍⵓⵍⵓ	curd (milk)
ⵍⵍⵓⵎⵥⵉ	Snuber, be haughty
ⵍⵍⵓⵥ	to be hungry
ⵍⵍⵖ	lick
ⵍⵍⵙ	defile, make impure
ⵍⵍⵙ	mow
ⵍⵍⵡⵓ	appear
ⵍⵍⵡⵓ	be born
ⵍⵎⴰⵡⴰⵢ	put yourself in front of the other
ⵍⵎⴰⵡⴰⵢ	to be confronted
ⵍⵎⴷ	learn
ⵍⵎⴹ	weaken
ⵍⵎⴻⵎ	suck
ⵍⵎⵍⵖ	be blonde
ⵍⵎⵓⵎⵎⵉ	be charming
ⵍⵎⵥ	swallow
ⵍⵓⴱⴷⴻⴷ	be warm
ⵍⵓⴼⵙⵓ	be viscous, viscous
ⵍⵓⵃ	to throw
ⵍⵓⵍⴱ	tear
ⵍⵓⵍⵍⵉ	turn
ⵍⵓⵍⵓ	be dry (rivers)
ⵍⵓⵎⵙⵓ	lumps
ⵍⵓⵖ	bake
ⵍⵓⵣ	disperse
ⵍⵖⴷ	intercede
ⵍⵖⴷⵓⴷⵉ	be broken with fatigue
ⵍⵖⴷⵓⴷⵉ	be softened
ⵍⵖⴻⵖ	be moving
ⵍⵖⵉ	to drown
ⵍⵖⵊ	swallow, eat greedily
ⵍⵖⵍⵖ	sink, flow
ⵍⵖⵏ	fall down, be able to assert
ⵍⵖⵙ	Tap, hide
ⵍⵙ	dress, dress
ⵍⵜⴰⵃ	suddenly
ⵍⵜⴼ	massage
ⵍⵜⵅ	throw on the ground
ⵍⵜⵖ (-ⴳ)	adhere
ⵍⵡⵉⵡⴹ	be loose
ⵍⵡⵉⵡⴹ	elastic
ⵍⵡⵓ	dislocate, relax
ⵍⵢⵎ	be dissolved
ⵍⵣ	fall (trees of trees)
ⵎⴰⴳⵍ	take charge, be loaded
ⵎⴰⴷ	be in equal quantity
ⵎⴰⵍⴰ	to lose
ⵎⴰⵔ	be large, wide (place)
ⵎⴰⵔⴰ	hurry, be in a hurry
ⵎⴰⵔⵖ	be charming
ⵎⴰⵔⵖ	be too salty
ⵎⴰⵜⵔ	monitor, keep
ⵎⴰⵟⵍ	Delay, be late
ⵎⴰⵡⵙ	hinder a beast
ⵎⴳⵔ	harvest
ⵎⴷⵉ	Watch, be on the lookout
ⵎⴷⵉ	go to meet someone
ⵎⴷⵉ	set a trap
ⵎⴷⵓ	be worn out
ⵎⴷⵓ	lose weight, weaken
ⵎⴷⵓⴷⴷⵓ	come in an insolation
ⵎⴷⵓⴷⵉ	move, be the subject of a jolt
ⵎⴷⵓⵏⵉ	looking back
ⵎⴹⵉ	to taste
ⵎⴹⵍ	bury, bury
ⵎⴹⵓⵕⵓ	recover health, recover
ⵎⴹⵕⵏ	turn on
ⵎⴹⵕⵓⵖ	shine (color)
ⵎⵀⴰⴼ	wander
ⵎⵃⴹ	be frightened
ⵎⵃⴹ	lie down, be extended
ⵎⵃⵃⵏ	tire, cause trouble
ⵎⵃⵃⵛ	Embred (Lang. Enf.)
ⵎⵃⵉⵣⵡⵔ	run, rush
ⵎⵃⵓ	be erased
ⵎⵃⵓ	erase, erase
ⵎⵃⵙ	punctuate
ⵎⵃⵜⵉⵜ	Watch, be on the lookout
ⵎⵃⵜⵉⵜ	whispering, whispering
ⵎⵄⵎⵉⵛ	stammer, mumble
ⵎⵄⵏ	acquire (neo.)
ⵎⵄⵏ	be securely fixed, attached
ⵎⵄⵏ	to input
ⵎⵅⵓⵎⴱⵍ	get ahead
ⵎⵅⵓⵜⵔ	to need
ⵎⵉⵍ	power
ⵎⵉⵎⵓⴷ	be swarming
ⵎⵉⵥⴹ	stretch
ⵎⵊⵊ	Ranging (a bone)
ⵎⵊⵊⴹ	be dyed, bald
ⵎⵍ	show
ⵎⵍⴰⵍⴰ	to encounter
ⵎⵍⴰⵍⵍⵉ	to have dizziness, to have your head running
ⵎⵍⴻⵍ	Blanch, be white
ⵎⵍⴽ	marry
ⵎⵍⵉⵎⵍ	stammer
ⵎⵍⵉⵎⵍ	stumble
ⵎⵍⵍⵇ	Embred (péj.)
ⵎⵍⵍⵖ	to joke
ⵎⵍⵍⵖ	to mock, to make fun, to tease
ⵎⵍⵍⵙ	frizzy, coat, make smooth
ⵎⵍⵓ	be moving
ⵎⵍⵓⴷⵓ	cool down, be lukewarm
ⵎⵍⵓⵍⵍⵉ	scared of heights
ⵎⵍⵓⵎⵍⵓ	mirroy
ⵎⵎⴰⵔ	be difficult
ⵎⵎⴰⵖ	Wrestle
ⵎⵎⴰⵖ	fight, argue
ⵎⵎⴰⵖ	kill
ⵎⵎⴰⵜⵜⵉ	be moved, move
ⵎⵎⴰⵜⵜⵔ	go out
ⵎⵎⴽⵍⵓ	have lunch
ⵎⵎⵉⵙ	to touch
ⵎⵎⵏⵖ	Wrestle
ⵎⵎⵏⵖ	fight, argue
ⵎⵎⵏⵖⵔ	winking
ⵎⵎⵏⵙⵓ	having dinner
ⵎⵎⵓ	dive, moisten, pierce
ⵎⵎⵓⴷ	brave
ⵎⵎⵓⴷⴷⵓ	travel
ⵎⵎⵓⴹⵕⵚ	die without ritually slaughtered
ⵎⵎⵓⴹⵕⵚ	strangle (animal)
ⵎⵎⵓⵄⴹⵕ	be delayed
ⵎⵎⵓⵍⵍⵉ	gang up
ⵎⵎⵓⵍⵍⵖ	crawl, hang out
ⵎⵎⵓⵍⵍⵖ	walk slowly
ⵎⵎⵓⵍⵍⵥ	luxe, be listened
ⵎⵎⵓⵎⵎⵉ	have will, have energy
ⵎⵎⵓⵏⵙⵓ	having dinner
ⵎⵎⵓⵔⵔⵉ	to go for a walk
ⵎⵎⵓⵔⵙⵍ	be bland
ⵎⵎⵓⵖⵉ	be exasperated, be pissed off
ⵎⵎⵓⵖⵉ	crash
ⵎⵎⵓⵜⵜⵉ	move, be moved
ⵎⵎⵓⵜⵜⵍ	Getting confused, wrapped up
ⵎⵎⵓⵢⵙⵉ	be expired
ⵎⵎⵓⵣⵍ	to occupy
ⵎⵎⵓⵣⵖ	grow, vacuum upwards
ⵎⵎⵓⵣⵖ	have prestige
ⵎⵎⵓⵣⵣⴰ	open
ⵎⵎⵓⵣⵣⵔ	be rabid
ⵎⵎⵔ	be happy
ⵎⵎⵔⴰ	be difficult, painful
ⵎⵎⵔⴳ	be broken, broken
ⵎⵎⵔⴳⵉⴳ	sway
ⵎⵎⵔⵖⴷ	wallow
ⵎⵎⵔⵣ	be injured in the head
ⵎⵎⵔⵣⵓⵣⵖ	be ajar
ⵎⵎⵖ	wet, wet
ⵎⵎⵖⵥⵉⵥ	stretch
ⵎⵎⵛⴽⵓⴽⴹ	whisper
ⵎⵎⵛⵜⴳ	to move
ⵎⵎⵜ	die
ⵎⵏⴰⵍⴰ	Place each other next to the other
ⵎⵏⴰⵡⴰⵢ	parallel
ⵎⵏⵄ	Save yourself, get out of business
ⵎⵏⵉⴳⴳⵉⵔ	to encounter
ⵎⵏⵉⴷ	look in front of you
ⵎⵏⵏⴽ	absent
ⵎⵏⵓ	be straight, erected, docile
ⵎⵏⵖ	Wrestle
ⵎⵏⵖ	fight, argue
ⵎⵏⵖ	kill
ⵎⵓⴹ	brave
ⵎⵓⴽⵜⵓ	be disgusted
ⵎⵓⵇⵇⵍ	to look at
ⵎⵓⵊ	to move
ⵎⵓⵏ	be gathered
ⵎⵓⵏ	be united
ⵎⵓⵏ	to accompany
ⵎⵓⵏⴰ	Supply, provide for needs
ⵎⵓⵔⴷ	crawl, hang out
ⵎⵓⵔⵙ	to succeed
ⵎⵓⵙⵖ	be beautiful to see
ⵎⵓⵛⵛⵓ	be black
ⵎⵓⵛⵜⵍⵓ	be unproductive
ⵎⵓⵜⵜⵔ	Group, come together
ⵎⵓⵢⴹ	watch overnight, stay awake all night
ⵎⵓⵥⵥ	be late, be late
ⵎⵔⴰⵢ	be difficult, hard, arduous
ⵎⵔⵉ	to rub
ⵎⵔⵎⴷ	dirty
ⵎⵔⵎⴷ	manhandle
ⵎⵔⵓⵎⴷ	be mied
ⵎⵔⵓⵔⴷ	crawl, drag on the ground
ⵎⵔⵔⵇ	slap
ⵎⵔⵔⵖ	wallow
ⵎⵔⵔⵜ	torment, make suffer, suffer, to to toine
ⵎⵕⵚ	leash
ⵎⵖⵉ	germinate, grow, push
ⵎⵖⵔ	Growing up, being tall
ⵎⵖⵔ	be aged
ⵎⵖⵙ	deny her little one (animal female)
ⵎⵙ	be from, having relationships of kinship, being a parent close to
ⵎⵙⴰⴳⴰⵔ	coincide, correspond
ⵎⵙⴰⵙⴰ	be flat (surface)
ⵎⵙⴰⵙⴰ	get along, agree
ⵎⵙⴳⵔⴰ	conclude
ⵎⵙⴷ	be sharp, be sharp
ⵎⵙⴻⵙ	disintegrate
ⵎⵙⴻⵙ	lack salt, be bland, tasteless
ⵎⵙⵉ	Attiediir, cool
ⵎⵙⵉ	to add
ⵎⵙⵍ	Coat, apply (painting or plaster)
ⵎⵙⵍ	sculpt, shape
ⵎⵙⵔ	Perform, arrive (event)
ⵎⵙⵙⵇ	reflect
ⵎⵛⴰⵛⴽⴰ	agree, agree
ⵎⵛⴷ	Leaving (shot without pressure from relaxation)
ⵎⵛⵃ	to be ashamed
ⵎⵛⵓⵛⵓ	be wasted, dissipated (money)
ⵎⵜⴰⵔⴰⵡ	have a relationship
ⵎⵜⵏ	ferment, lift (paste)
ⵎⵜⵔ	bury
ⵎⵜⵜⵉ	turn around, turn around, turn over
ⵎⵜⵜⵍ	curse
ⵎⵢⴰⴼⴰ	to hurry up
ⵎⵢⴰⴽⵓⴷ	to sychronize
ⵎⵢⴰⵏⴰⵡ	be diverse, varied
ⵎⵢⴰⵔ	get used to it, get used to
ⵎⵢⴰⵡⴰⵢ	parallel
ⵏⴰⴷⴰ	look for
ⵏⴰⴽⵕ	deny, deny
ⵏⴰⵀⵎ	to watch
ⵏⴰⵅ	to be exhausted
ⵏⴰⵇⵎ	to bother
ⵏⴰⵇⵔ	Argue
ⵏⴰⵇⵔ (-ⴷ)	come back
ⵏⴰⵔⵣ	envy
ⵏⴰⵡⵍ	serve the meal
ⵏⴰⵡⵛ	take care of
ⵏⴰⵢ	be new
ⵏⴱⴰⵕⴰ	be knocked out, exhausted, exhausted
ⵏⴱⴹ	Régir (neo. Gram.)
ⵏⴱⴹ	govern, control, order, have authority over
ⵏⴱⵉ	wobble
ⵏⴱⵓⵜⵜⵍ	be busy, being concerned
ⵏⴱⵓⵜⵜⵍ	be tangled, tangled, confused
ⵏⴱⵓⵥⵥⵍ	lengthen
ⵏⴱⵛ	cause to tease
ⵏⴱⵛ	rummage, look, dig
ⵏⴱⵣⵣⵍ	Pour yourself, spread
ⵏⴳ	encourage
ⵏⴳⴰⵍ	darkened
ⵏⴳⴰⵔⴼ	wiggard
ⵏⴳⴱ	lose breath, be short of breath
ⵏⴳⴳⵔ	push suddenly, shake up
ⵏⴳⴹ	Being dependent on, being addict (neo.)
ⵏⴳⴹ	be immersed, be plunged
ⵏⴳⴹ	mock
ⵏⴳⴼ	sing in the bride's procession
ⵏⴳⵃⵙ	dragging yourself (baby), crawling
ⵏⴳⵉ	be in flood (rivers), overflow, sink
ⵏⴳⵉⴳⴳ	Shacer, tremble
ⵏⴳⵉⴳⵉ	move, jerk off
ⵏⴳⵉⵔⵉ	separate, be separated
ⵏⴳⵍ	flatten pancakes
ⵏⴳⵍⵓⵍⵓ	oscillate, swing
ⵏⴳⵍⵓⵍⵓ	to toggle
ⵏⴳⵎⴳ	whisper
ⵏⴳⵏⴳ	ring
ⵏⴳⵓ	roar
ⵏⴳⵓ	to push
ⵏⴳⵓⵟⵟⵎ	excavate (a joint), luxur
ⵏⴳⵙ	jostle, inadvertently offend, to score
ⵏⴳⵣ	hurt, make suffer, suffer
ⵏⴳⵣ	plot (neo.)
ⵏⴷ	pile up, flatten
ⵏⴷⴷⵉⴷ	be greasy
ⵏⴷⴼ	be rekindled, irritated (injury)
ⵏⴷⵀ	conduct
ⵏⴷⵍⴼ	come off, hit
ⵏⴷⵓ	be baratté (milk), be beaten
ⵏⴷⵓ	be hidden, hide
ⵏⴷⵓ	bury
ⵏⴷⵓⴷ	move, stir
ⵏⴷⵓⴷⴷⵓ	to flow
ⵏⴷⵓⴷⴷⵓ	to move
ⵏⴷⵓⴷⵉ	shake
ⵏⴷⵔ	groan
ⵏⴷⵔ	roar (lion)
ⵏⴷⵔⴰ	rust
ⵏⴹⴱ	to throw
ⵏⴹⴻⴹ	stick, be glued
ⵏⴹⵏ	besiege
ⵏⴹⵓ	let go
ⵏⴹⵓ	skip
ⵏⴹⵕ	fall, fall
ⵏⴹⵕ	jump, jump
ⵏⴹⵕ	throw away
ⵏⴼⴰⵊⴰ	calm down, be relieved, no longer suffer
ⵏⴼⴰⵍⴰⵍ	Finish, finish
ⵏⴼⴰⵙⵙⵉ	be dispersed, disperse
ⵏⴼⴷ	be on
ⵏⴼⴼⵃ	tobacco prison
ⵏⴼⴼⵙ	breathe, blow
ⵏⴼⵉ	hide, hide
ⵏⴼⵉ	push, repel, shake up
ⵏⴼⵓ	have an interest
ⵏⴼⵓⴼⴷ	be rekindled
ⵏⴼⵔ	blow
ⵏⴼⵕ	deny your little one, refuse to breastfeed your little one (animal)
ⵏⴼⵙ	sprinkle up, sprinkle
ⵏⴼⵙ	stain
ⵏⴽ	ascend
ⵏⴽⴱ	close
ⵏⴽⴷ	Do not grow, be small, short
ⵏⴽⴹ	compose verses (poetry)
ⵏⴽⴹ	damn
ⵏⴽⴽⴷ	Straight, torment
ⵏⴽⵄ	breastfed
ⵏⴽⵍⵡⵉ	be at ease
ⵏⴽⵓⵎⵎⵙ	curl up, get into a ball
ⵏⴽⵔ	get up, stand up
ⵏⴽⵔ	wake
ⵏⴽⵙ	confront
ⵏⴽⵙ	score
ⵏⵀ	be tilted forward
ⵏⵀⴰⵜⵜⴼ	to be tired
ⵏⵀⴹ	scold, reprimand
ⵏⵀⴽ	be out of breath
ⵏⵀⴽ	groan
ⵏⵀⵊ	Haleter, blow
ⵏⵀⵍⵍⴰ	take care of
ⵏⵀⵎ	call upon
ⵏⵀⵎ	neigh
ⵏⵀⵎ	scold, thunder
ⵏⵀⵓⵜⵜⴰ	be seriously ill
ⵏⵀⵕ	calm, hold back, prevent acting
ⵏⵃⴰⵔⴰ	expect
ⵏⵃⴷ	rub, graze
ⵏⵃⵉⵃⴹ	neigh
